Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Auston Matthews,TOR,15900000,L,C,27,21,15,36,8,6,1.33,13,26,8,10,0,0,1,7,112,1323
Connor McDavid,EDM,14000000,L,C,30,17,35,52,10,14,1.73,11,30,6,22,0,0,1,4,119,1349
John Tavares,TOR,12000000,L,C,30,9,17,26,11,6,0.87,4,17,5,9,0,0,0,1,83,1090
Nicklas Backstrom,WSH,12000000,L,C,27,10,20,30,-1,4,1.11,7,19,3,11,0,0,0,0,49,1132
Sebastian Aho,CAR,10570000,L,C,27,10,15,25,7,12,0.93,6,16,3,8,1,1,0,2,66,1160
Jack Eichel,BUF,10000000,R,C,21,2,16,18,-9,6,0.86,1,9,1,9,0,0,0,1,61,1230
Sidney Crosby,PIT,9600000,L,C,26,10,16,26,3,12,1,7,17,3,9,0,0,2,2,71,1207
Evgeni Malkin,PIT,9500000,L,C,27,7,15,22,-3,20,0.81,4,16,3,6,0,0,0,0,59,1121
Steven Stamkos,TBL,9500000,R,C,24,12,13,25,8,14,1.04,6,14,6,10,0,1,0,1,63,1109
Leon Draisaitl,EDM,9000000,L,C,30,16,29,45,20,10,1.5,6,26,9,18,1,1,0,5,88,1319
Logan Couture,SJS,9000000,L,C,25,13,9,22,1,10,0.88,11,16,2,6,0,0,0,2,64,1186
Anze Kopitar,LAK,8000000,L,C,27,7,25,32,2,4,1.19,4,13,3,19,0,0,0,2,59,1288
Charlie Coyle,BOS,8000000,R,C,24,5,3,8,-3,12,0.33,4,7,0,0,1,1,0,1,34,1017
Brayden Schenn,STL,8000000,L,C,28,12,12,24,4,11,0.86,9,18,3,6,0,0,0,0,69,1179
Ryan Johansen,NSH,8000000,R,C,20,2,6,8,-4,10,0.4,2,4,0,4,0,0,0,0,32,1075
Kevin Hayes,PHI,7500000,L,C,25,9,11,20,2,10,0.8,7,15,2,5,0,0,1,2,66,1122
Claude Giroux,PHI,7200000,R,C,23,5,14,19,5,10,0.83,5,13,0,6,0,0,0,1,49,1085
Jean-Gabriel Pageau,NYI,7000000,R,C,28,9,8,17,6,6,0.61,4,9,3,6,2,2,0,3,49,1013
David Krejci,BOS,7000000,R,C,21,1,12,13,2,12,0.62,0,7,1,6,0,0,0,0,31,1032
Nathan MacKinnon,COL,6150000,R,C,22,7,17,24,9,2,1.09,5,16,2,8,0,0,0,0,94,1237
Ryan O'Reilly,STL,6000000,L,C,28,9,18,27,9,16,0.96,7,21,2,6,0,0,0,1,68,1282
Brayden Point,TBL,6000000,R,C,26,10,15,25,8,11,0.96,7,16,3,9,0,0,1,3,71,1106
