Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Auston Matthews,TOR,15900000,L,C,27,21,15,36,8,6,1.33,13,26,8,10,0,0,1,7,112,1323
Mitchell Marner,TOR,15000000,R,R,30,11,28,39,15,14,1.3,11,25,0,13,0,1,0,2,82,1358
Connor McDavid,EDM,14000000,L,C,30,17,35,52,10,14,1.73,11,30,6,22,0,0,1,4,119,1349
Artemi Panarin,NYR,13000000,R,L,15,5,14,19,0,0,1.27,3,12,2,7,0,0,0,0,45,1229
Mikko Rantanen,COL,12000000,L,R,26,13,15,28,7,6,1.08,8,18,5,10,0,0,0,3,87,1210
Erik Karlsson,SJS,12000000,R,D,21,2,7,9,1,4,0.43,0,5,2,4,0,0,0,0,41,1452
John Tavares,TOR,12000000,L,C,30,9,17,26,11,6,0.87,4,17,5,9,0,0,0,1,83,1090
Nicklas Backstrom,WSH,12000000,L,C,27,10,20,30,-1,4,1.11,7,19,3,11,0,0,0,0,49,1132
Sebastian Aho,CAR,10570000,L,C,27,10,15,25,7,12,0.93,6,16,3,8,1,1,0,2,66,1160
Sebastian Aho,NYI,10570000,L,D,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,638
Jacob Trouba,NYR,10000000,R,D,18,0,5,5,-1,14,0.28,0,5,0,0,0,0,0,0,30,1307
Jeff Skinner,BUF,10000000,L,L,23,1,1,2,-8,10,0.09,1,2,0,0,0,0,0,0,45,821
Chris Kreider,NYR,10000000,L,L,26,14,5,19,-4,19,0.73,8,13,6,6,0,0,0,3,55,1034
Drew Doughty,LAK,10000000,R,D,27,6,16,22,0,12,0.81,2,7,4,14,0,1,0,0,46,1589
Brent Burns,SJS,10000000,R,D,25,5,9,14,-13,16,0.56,3,9,2,5,0,0,0,1,67,1614
Jack Eichel,BUF,10000000,R,C,21,2,16,18,-9,6,0.86,1,9,1,9,0,0,0,1,61,1230
Alex Ovechkin,WSH,10000000,R,L,23,10,10,20,-9,10,0.87,7,12,3,8,0,0,1,3,94,1221
Sidney Crosby,PIT,9600000,L,C,26,10,16,26,3,12,1,7,17,3,9,0,0,2,2,71,1207
Evgeni Malkin,PIT,9500000,L,C,27,7,15,22,-3,20,0.81,4,16,3,6,0,0,0,0,59,1121
Steven Stamkos,TBL,9500000,R,C,24,12,13,25,8,14,1.04,6,14,6,10,0,1,0,1,63,1109
Leon Draisaitl,EDM,9000000,L,C,30,16,29,45,20,10,1.5,6,26,9,18,1,1,0,5,88,1319
Jamie Benn,DAL,9000000,L,L,20,4,9,13,6,23,0.65,4,11,0,2,0,0,0,0,48,1067
